trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
108,False,"{'a': 0.5, 'e': 0.7300000000000058}",20,0,-133.88907917509997,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
109,False,"{'a': 0.5, 'e': 0.7275000000000058}",20,11,10.077771158462314,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.7250000000000059}",20,5,10.240006245582167,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.7225000000000059}",20,8,-10.591613992844449,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.720000000000006}",25,0,-165.54017304185635,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
113,False,"{'a': 0.5, 'e': 0.717500000000006}",30,0,-106.39086417422203,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.7150000000000061}",25,0,-62.07257693899245,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.7125000000000061}",20,0,-55.16077596378158,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.7100000000000062}",25,9,7.247947618445604,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.7075000000000062}",25,0,-25.38987949833121,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.7050000000000063}",30,0,-62.13988801979304,"{0: 21, 1: 4, 2: 3, 3: 2, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.7025000000000063}",30,0,-148.97525180450845,"{0: 18, 1: 4, 2: 3, 3: 4, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.7000000000000064}",20,0,-105.76166875441483,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.6975000000000064}",30,0,-75.71424218107006,"{0: 24, 1: 0, 2: 3, 3: 2, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.6950000000000065}",20,0,-155.95288298854283,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
123,False,"{'a': 0.5, 'e': 0.6925000000000066}",20,0,-112.59979412832385,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
124,False,"{'a': 0.5, 'e': 0.6900000000000066}",30,19,0.009867264438359946,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.6875000000000067}",20,2,-87.49110403984358,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 2}",1
126,False,"{'a': 0.5, 'e': 0.6850000000000067}",20,10,2.54122556971053,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.6825000000000068}",20,0,1.8068897487314393,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.6800000000000068}",30,0,-57.69366908700923,"{0: 26, 1: 0, 2: 1, 3: 2, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.6775000000000069}",25,9,-122.35502772309019,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 2}",1
130,False,"{'a': 0.5, 'e': 0.6750000000000069}",25,9,2.5499325392629846,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.672500000000007}",20,0,-43.817936481584034,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.670000000000007}",25,0,-121.6900737795623,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
